p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	pct.ratio	pct.difference
3.020673319363059e-20	0.11615551714605027	0.114	0.021	5.394016346386614e-16	14	Ptk2	5.428571428571429	0.093
3.1940870087088294e-20	0.22183547640257256	0.236	0.072	5.703681171451356e-16	14	Slc43a3	3.2777777777777777	0.16399999999999998
3.9653746442152086e-20	-0.7217595674674463	0.057	0.344	7.080969502175098e-16	14	Pkm	0.16569767441860467	-0.287
4.07467360153477e-20	0.11460779731411204	0.105	0.019	7.276144650260639e-16	14	Mysm1	5.526315789473684	0.086
4.495149864311218e-20	0.10483553101740618	0.1	0.017	8.026989112700542e-16	14	Arhgef1	5.88235294117647	0.083
4.6050166188570097e-20	0.14906463893328153	0.175	0.044	8.223178176292962e-16	14	Aff4	3.977272727272727	0.131
4.632560039648207e-20	0.16120922809245938	0.17	0.043	8.272362462799804e-16	14	Ptpra	3.953488372093024	0.127
4.858714927659903e-20	0.18482400899740745	0.227	0.067	8.67620724632229e-16	14	Rock1	3.388059701492537	0.16
5.2142356714216014e-20	0.1296836773330646	0.118	0.023	9.311060638457555e-16	14	Map3k2	5.130434782608695	0.095
5.217303898461093e-20	0.15169560152048275	0.166	0.041	9.316539571481974e-16	14	Zfr	4.048780487804878	0.125
6.458421588466033e-20	0.2921843930946937	0.297	0.103	1.1532803430523795e-15	14	Gpc3	2.883495145631068	0.194
6.798947480222021e-20	0.16046445557481503	0.144	0.033	1.2140880515432463e-15	14	Pbxip1	4.363636363636363	0.11099999999999999
7.42327703971817e-20	0.21867962211817935	0.31	0.11	1.3255745809824735e-15	14	Txndc5	2.8181818181818183	0.2
7.596752785156533e-20	0.12892004357650927	0.118	0.023	1.3565521448454021e-15	14	Nbr1	5.130434782608695	0.095
7.760419299415651e-20	0.11173141892881008	0.109	0.02	1.3857780742966528e-15	14	Mgat1	5.45	0.089
9.014772863314555e-20	0.17161780841240068	0.197	0.054	1.60976799020208e-15	14	Ythdc1	3.6481481481481484	0.14300000000000002
9.889258708743845e-20	0.10862878919494677	0.105	0.019	1.7659249276203883e-15	14	Epc2	5.526315789473684	0.086
1.0442519667137728e-19	0.1911677689669582	0.546	0.225	1.8647207369607843e-15	14	Serpinf1	2.4266666666666667	0.32100000000000006
1.0996506231180916e-19	0.22224007439328797	0.188	0.051	1.963646117701976e-15	14	Resf1	3.686274509803922	0.137
1.188351612740478e-19	0.18089444066951518	0.188	0.051	2.1220394748706715e-15	14	Sltm	3.686274509803922	0.137
1.286804688171498e-19	0.13003271353653525	0.14	0.031	2.297847131667844e-15	14	Abi1	4.516129032258065	0.10900000000000001
1.325929708273659e-19	0.20138559079755097	0.21	0.06	2.3677126800642727e-15	14	Slc3a2	3.5	0.15
1.3582118551503622e-19	0.21147809106258053	0.258	0.083	2.4253589097420017e-15	14	Metrnl	3.108433734939759	0.175
1.4339505148922284e-19	0.16549674880812437	0.205	0.058	2.5606054344430524e-15	14	Ece1	3.534482758620689	0.147
1.4358272737353555e-19	0.15965054227312736	0.157	0.038	2.5639567627092242e-15	14	Rhou	4.131578947368421	0.119
1.9752434578915093e-19	0.15515295066128726	0.162	0.04	3.527192242756868e-15	14	Tek	4.05	0.122
1.9820994566252918e-19	0.12539348571356457	0.122	0.025	3.5394349996957836e-15	14	Gbf1	4.88	0.097
2.356192663508791e-19	0.1414233751199818	0.144	0.033	4.207453239227648e-15	14	Mafg	4.363636363636363	0.11099999999999999
2.3851885692861795e-19	0.1821850305685177	0.197	0.056	4.259231228174331e-15	14	C1rb	3.517857142857143	0.14100000000000001
2.4519483925894213e-19	-0.5717834703720396	0.511	0.75	4.37844424464693e-15	14	H2-D1	0.6813333333333333	-0.239
2.6010506731649955e-19	0.5115115904197849	0.415	0.183	4.644696187070733e-15	14	Btg1	2.26775956284153	0.23199999999999998
2.677006838539259e-19	0.1291278000434907	0.131	0.028	4.780331111579555e-15	14	Saraf	4.678571428571429	0.10300000000000001
4.410682642304866e-19	0.10464337664300258	0.1	0.018	7.8761559943638e-15	14	Cnot6l	5.555555555555556	0.082
5.371217754560812e-19	0.11960040009081535	0.122	0.025	9.591383544319242e-15	14	Mpdz	4.88	0.097
5.484925100742069e-19	0.1602468638147055	0.179	0.048	9.794430752395113e-15	14	Ppp1r12a	3.7291666666666665	0.131
