tissueType	cellName	geneSymbolmore1	geneSymbolmore2	shortName
Eye	GABAergic amacrine cells	Frmpd2,Gjd2,Grm3,Kcna4,Kcnma1,Mip,Pou6f2,Sema3d,Stx1a,Tjp2,Zeb2		GABAergic ACs
Eye	Rod photoreceptor cells	Arr3,Cabp4,Cacna1d,Crx,Dynlrb2,Edn2,Frmpd2,Gjd2,Kcna4,Kcnq5,Lrit1,Lrit2,Maf,Med1,Nrl,Pde6b,Rom1,Rorb,Rp1,Rp1l1,Samd11,Slc24a1,Tspan10,Ttc8		Rod
Eye	Cone photoreceptor cells	Arr3,Cabp4,Cacna1d,Crx,Edn2,Gjd2,Gnb3,Kcnq5,Lrit1,Med1,Nrl,Pde6b,Rom1,Rp1,Rp1l1,Slc24a1,Thrb,Tspan10,Ttc8		Cone
Eye	Microglial cells	Adgre1,Adora3,Adrb2,Aif1,Bhlhe41,Bin1,C1qa,Cd40,Cx3cl1,Cx3cr1,Isyna1,Klf2,Nav3,Nos2,P2ry12,Ptprc,Rhob,Sall1,Slc1a3,Spry1,Tal1,Tmem119,Tnf		Microglial
Eye	Horizontal cells	Calb1,Dlg2,Tfap2b,Zeb2		Horizontal
Eye	Synapses	Dlg4,Homer1,Slc32a1,Syp		Synapses
Eye	Retinal pigment epithelial cells	Ano2,Best1,Bmp2,Bmp4,Clu,Efemp1,Ezr,Il4,Kcnj5,Med1,Rdh5,Rgr,Rpe65,Sbspon,Tgfbr1,Tmem98,Traf1,Ttc8		RPE
Eye	Cornea epithelial cells	Klf6		CEP
Eye	Immune cells	Cd19,Cd4,Cd69		Immune
Eye	Fibroblasts	Acta2,Col1a1,Crhbp,Fbln1,Fn1,Icam1,Pax6,Pdgfra,Tgfb1		Fibroblasts
Eye	Endothelial cells	Bmp2,Bmp4,Cd34,Cd93,Cdh5,Cldn5,Flt1,Gng11,Icam1,Med1,Pecam1,Tgfbr1,Tmem98,Tnfsf12,Vwf		Endothelial
Eye	Pericytes	Dlk1,Vcam1		Pericytes
Eye	Extracellular matrix cells	Antxr2,Efemp1,Lama2,Sntb1,Tcf7l2,Tgfbr1,Tmem98,Vipr2,Zic2		ECMs
Eye	Glycinergic amacrine cells	Frmpd2,Gjd2,Grm3,Kcna4,Kcnma1,Mip,Pou6f2,Sema3d,Stx1a,Tcf4,Tjp2,Zeb2		Glycinergic ACs
Eye	Cholinergic GABAergic amacrine cells	Frmpd2,Gjd2,Grm3,Kcna4,Kcnma1,Mip,Pou6f2,Scgn,Sema3d,Stx1a,Tjp2,Zeb2		Cholinergic GABAergic ACs
Eye	Tachykinin GABAergic amacrine cells	Frmpd2,Gjd2,Grm3,Kcna4,Kcnma1,Mip,Pou6f2,Scgn,Sema3d,Stx1a,Tjp2,Zeb2		Tachykinin GABAergic ACs
Eye	Starburst amacrine cells	Chat,Frmpd2,Gad1,Gjd2,Grm3,Kcna4,Kcnma1,Mip,Pou6f2,Sema3d,Slc5a7,Stx1a,Tjp2,Zeb2		Starburst ACs
Kidney	Cancer stem cells	Epcam		CSCs
Kidney	Immune cells	Cd19,Cd3d,Cd3e,Cd40,Cd52,Cd79a,Cd8a,Cpne5,Fcrl5,H2-Ea-ps,Ighm,Igkc,Il7r,Jchain,Kit,Klrd1,Ms4a1,Mzb1,Pkhd1l1,Pnoc,Pou2af1,Ptgs2,Slc18a2,Tnfrsf13c		Immune
Kidney	α-intercalated cells (Collecting duct system)	Aqp6,Atp6v1b1,Atp6v1g3,Avpr1a,Car2,Dmrt2,Foxi1,Oxgr1,P2ry14,Rhcg,Slc4a1,Tmem213		α-intercalated
Kidney	β-intercalated cells (Collecting duct system)	Ap1s3,Atp6v1b1,Atp6v1g3,Avpr1a,Car2,Foxi1,Insrr,Oxgr1,Rhcg,Slc26a4,Tmem213		β-intercalated cells
Kidney	Loop of Henle cells	Aqp1,Calcrl,Cdkn1c,Cldn1,Cldn10,Cryab,Cyp4b1,Dram1,Gem,Igf1,Irx1,Irx2,Irx3,Lrrc66,Mecom,Nek6,Pou3f3,Ppp1r1b,Rgs5,Slc12a1,Spp1,Tbc1d4,Umod		Henle loop
Kidney	Mesangial cells	Arid5b,Ccr7,Fn1,Gata3,Itga8,Lama4,Lgals1,Pawr,Pdgfb,Pdgfrb,Ren1,Serpine2,Tbx18,Tek,Thy1,Zeb2		Mesangial cells
Kidney	Podocytes	Arhgap24,Cd2ap,Clic5,Col4a3,Col4a4,Ezr,Mafb,Notch2,Nphs1,Nphs2,Pla2r1,Podxl,Rhpn1,Sema3e,Sema3g,Sema5a,Tdrd5,Wt1		Podocytes
Kidney	Principal cells (Collecting duct system)	Aqp2,Aqp3,Avpr2,Cldn4,Elf5,Fxyd4,Gata3,Hsd11b2,Kcnj1,Scnn1g,Stc1,Tbx3		Principal
Kidney	Inner Medullary cells (Collecting duct system)	Aldh1a3,Plekhb1,S100a4,Slc14a2,Tm6sf1		IM
Kidney	Proximal tubule cells	Agxt2,Atp1b1,Cdkn3,Cryl1,Cubn,Cyp2e1,Glyat,Hgd,Hnf4a,Lrp2,Napsa,Pdzk1,Pou3f3,Slc17a3,Slc3a1,Slc7a13,Sod3,Sord,Upb1		PT
Kidney	Cap mesenchyme cells (Mesenchymal cells)	Cited1,Eya1,Itga8,Meis2,Muc1,Notch2,Nr2f2,Six2		Cap mesenchyme
Kidney	Endothelial cells	Adgrl4,Cd93,Emcn,Eng,Kdr,Mmrn1,Pecam1,Plac8,Plvap,Tek,Tgfbr2,Vwf		Endothelial
Kidney	Stromal cells	Col1a2,Col3a1,Col6a3,Lgals1,Meis1,Tcf21,Tnc		Stromal
Kidney	Juxtaglomerular cells	Crip1,Ren1		Juxtaglomerular
Kidney	Renal interstitium (Mesenchymal cells)	C7,Meis1,Mgp,Pdgfra,Sfrp1		Renal interstitium
Kidney	Connecting tubule cells	Atp6v1b1,Calb1,Slc8a1,Trpv5		Connecting tubule
Kidney	Distal tubule cells	Cdc42ep3,Cldn3,Cldn8,Egf,Emx1,Kcnj1,Kl,Pcolce,Pou3f3,Slc12a3,Sostdc1,Tmem213,Tmem52b,Umod		Distal tubule
Kidney	Hematopoietic cells	Coro1a,Lst1,Srgn		HCs
Kidney	Ureteric Bud cells	Cldn6,Gfra1,Lama1,Nmu,Ret,Wnt9b		UB
Kidney	Renal Vesicle cells	Bmp2,Dkk1,Dll1,Emx2,Greb1,Lhx1,Ncam1,Papss2,Pcsk9,Pou3f3,Tmem100,Wt1		RV
Kidney	Cancer stem cells	Epcam		CSCs
Brain	Astrocytes	Aldh1l1,Aqp4,Atp13a4,C5ar1,Cd40,Cd80,Cd86,Gfap,Glul,Igfbp3,S100b,Slc1a2,Slc1a3,Sox9		Astrocytes
Brain	Cholinergic neurons	Ache,Chat,Slc18a3		Cholinergic neurons
Brain	Dopaminergic neurons	Dbh,Foxa2,Kcnj6,Lmx1b,Nr4a2,Ppp1r1b,Slc6a2,Slc6a3,Th		Dopaminergic neurons
Brain	Endothelial cells	A2m,Apold1,Cd34,Cdh5,Eng,Flt1,Mcam,Pecam1,Ptprc,Tm4sf1,Vcam1,Vwf		Endothelial
Brain	GABAergic neurons	Gabbr1,Gabbr2,Gad1,Gad2,Slc32a1,Slc6a1		GABAergic neurons
Brain	Glutamatergic neurons	Gls,Glul,Grin1,Grin2a,Grin2b,Slc17a6,Slc17a7		Glutamatergic neurons
Brain	Immature neurons	Dcx,Ncam1,Neurod1,Stmn1,Tbr1,Tubb3		Immature neurons
Brain	Immune system cells	Ccr6,Cd4,Cxcr3,Il2ra,Isg20,Ms4a1,Tnfrsf8		Immune system
Brain	Mature neurons	Dlg4,Gap43,Ina,Map2,Mapt,Nrp1,Rbfox3,Syp,Tubb3		Mature neurons
Brain	Microglial cells	Adgre1,Adora3,Adrb2,Aif1,Bhlhe41,Bin1,C1qa,Cd40,Cx3cr1,Isyna1,Klf2,Nav3,Nos2,P2ry12,Ptprc,Rhob,Sall1,Slc1a3,Spry1,Tal1,Tmem119,Tnf		Microglial
Brain	Myelinating Schwann cells	Egr2,Mbp,Mpz,Sox10		Myelinating Schwann
Brain	Neural Progenitor cells	Ascl1,Cntnap1,Cspg4,Eomes,Msi1,Msi2,Nes,Otx2,Pax3,Pax6,Rnf5,Smarca4,Sox1,Sox2		Neural Progenitor
Brain	Neural stem cells	Nes,Prom1,Sox2,Sox9		Neural stem
Brain	Neuroblasts	Dcx,Dlx2,Eomes,Neurod1,Prox1,Tubb3		Neuroblasts
Brain	Neuroepithelial cells	Cdh1,Hes1,Hes3,Nes,Notch1,Ocln,Sox10,Sox2		Neuroepithelial
Brain	Non myelinating Schwann cells	Gap43,Ncam1,Ngfr,Sox10		Non myelinating Schwann
Brain	Oligodendrocyte precursor cells	Cspg4,Lhfpl3,Megf11,Pcdh15,Pdgfra,Rnf5		Oligodendrocyte precursor
Brain	Oligodendrocytes	Cldn11,Cnp,Fa2h,Galc,Mag,Mbp,Mog,Olig1,Olig2,Olig3,Sox10,Ugt8a		Oligodendrocytes
Brain	Radial glial cells	Cdh2,Fabp7,Gfap,Hes1,Hes5,Nes,Pax6,Slc1a3,Sox2,Tnc,Vim		Radial glial
Brain	Schwann precursor cells	Dhh,Fabp7,Gap43,Mpz,Ngfr,Sox10		Schwann precursor
Brain	Serotonergic neurons	Fev,Htr1a,Htr1b,Slc6a4,Tph1		Serotonergic neurons
Brain	Tanycytes	Col23a1,Gpr50		Tanycytes
Lung	Airway epithelial cells	Adh7,Aqp1,Cdh1,Sec14l3		Airway epithelial
Lung	Airway goblet cells	Agr2,Aqp5,Dmbt1,Dusp4,Fxyd3,Galnt5,Galnt6,Ggh,Golph3,Gp2,Il19,Lipf,Ltf,Lynx1,Msln,Muc16,Muc4,Muc5b,Nos2,Pigr,Qsox1,Scgb3a1,Sec23b,Spdef,Tff2		Airway goblet
Lung	Mesothelial cells	C2,Calb2,Cd44,Cdh1,Des,Efemp1,Epcam,Krt5,Krt7,Krt72,Lrrn4,Me1,Me2,Msln,Muc16,Osr1,Rspo1,Thbd,Upk3b,Wt1		Mesothelial
Lung	Fibroblasts	Col3a1,Col5a2,Dpt,Fn1,Gsn,Lrp1,Pdgfra,Tcf21		Fibroblasts
Lung	Basal cells (Airway progenitor cells)	Abi3bp,Aqp3,Dapl1,Gm10260,Gstm7,Hpgd,Icam1,Krt14,Krt15,Krt5,Phlda3,Sdc1		Basal
Lung	Alveolar macrophages	Abcg1,Cd36,Clec7a,G0s2,Gal,Gda,Gngt2,Gpnmb,Il18,Il1b,Itgax,Klhdc4,Marco,Mcemp1,Mpp1,Mrc1,Olr1,Plet1,S100a4,Tlr2,Tnfaip2,Trim25		Alveolar macrophages
Lung	Ciliated cells	Appl2,Atp5md,Ccdc153,Ccdc17,Ccdc181,Ccdc39,Cyp2s1,Fam161a,Foxj1,Lrrc23,Odf3b,Scgb1a1,Sec14l3,Sntn,Stk11,Tmem212,Tubb4b		Ciliated
Lung	Clara cells	Ahr,Ctse,Cyp2e1,Cyp4b1,Ern1,Foxm1,Lepr,Muc1,Muc4,Muc5b,Rab3d,Scgb1a1,Scgb3a1,Sftpc,Sftpd,Syt2		Clara
